data-productividad-producto-producto_obtenido,data-productividad-producto-rendimiento_estimado,data-productividad-producto-rendimiento_real,data-productividad-producto-porcentaje_venta,data-productividad-producto-destinado_autoconsumo,data-productividad-producto-destinado_a_semilla,data-productividad-producto-vendio_producto,data-productividad-producto-precio_venta,PARENT_KEY,KEY
segunda,1.8,1.8,30,55,15,si,0.8,uuid:017d1e4d-c1da-475a-9b44-d9649d6f9d3a,uuid:017d1e4d-c1da-475a-9b44-d9649d6f9d3a/producto[1]
tercera,12,2.4,50,40,10,si,0.8,uuid:80ff0f8f-52a0-4ba1-860e-b2ce39e60a69,uuid:80ff0f8f-52a0-4ba1-860e-b2ce39e60a69/producto[1]
segunda,15,1.8,50,40,10,si,0.6,uuid:d04e6c8f-c290-4d42-a486-971acf326e34,uuid:d04e6c8f-c290-4d42-a486-971acf326e34/producto[1]
tercera,6,1.8, ,90,10,no,0.9,uuid:268e8193-4de2-4593-9c1e-fdea78c8fe33,uuid:268e8193-4de2-4593-9c1e-fdea78c8fe33/producto[1]
segunda,15,0.7,0,40,60,no,0.5,uuid:eb75797a-3d9e-468a-91a1-0d723f3fb8f9,uuid:eb75797a-3d9e-468a-91a1-0d723f3fb8f9/producto[1]
primera,1.2,1.2,50,50,0,no,0.5,uuid:9d224ee2-56fe-4e68-af03-937301a682c4,uuid:9d224ee2-56fe-4e68-af03-937301a682c4/producto[1]
segunda,0.6,0.6,50,50,0,no,0.4,uuid:9d224ee2-56fe-4e68-af03-937301a682c4,uuid:9d224ee2-56fe-4e68-af03-937301a682c4/producto[2]
tercera,0.6,0.6,0,50,50,no,0.3,uuid:9d224ee2-56fe-4e68-af03-937301a682c4,uuid:9d224ee2-56fe-4e68-af03-937301a682c4/producto[3]
primera,3,3,100,0,0,no,0.4,uuid:7f8256a5-486b-4b42-a5e7-2ea377fa6f72,uuid:7f8256a5-486b-4b42-a5e7-2ea377fa6f72/producto[1]
segunda,3.6,3.6,0,90,10,no,0,uuid:7f8256a5-486b-4b42-a5e7-2ea377fa6f72,uuid:7f8256a5-486b-4b42-a5e7-2ea377fa6f72/producto[2]
tercera,1.2,1.2,0,50,50,no,0,uuid:7f8256a5-486b-4b42-a5e7-2ea377fa6f72,uuid:7f8256a5-486b-4b42-a5e7-2ea377fa6f72/producto[3]
primera,2.8,2.8,100,0,0,si,1.10,uuid:c12590ad-bbf3-4f67-b583-b547445898d3,uuid:c12590ad-bbf3-4f67-b583-b547445898d3/producto[1]
segunda,1.8,1.8,0,80,20,no, ,uuid:c12590ad-bbf3-4f67-b583-b547445898d3,uuid:c12590ad-bbf3-4f67-b583-b547445898d3/producto[2]
tercera,0.6,0.6,0,90,10,no, ,uuid:c12590ad-bbf3-4f67-b583-b547445898d3,uuid:c12590ad-bbf3-4f67-b583-b547445898d3/producto[3]
primera,0.72,0.72,50,50,0,si,0.9,uuid:16dfaee0-e599-4098-bfa8-9c0d2f1ff292,uuid:16dfaee0-e599-4098-bfa8-9c0d2f1ff292/producto[1]
segunda,0.36,0.36,0,80,20,no, ,uuid:16dfaee0-e599-4098-bfa8-9c0d2f1ff292,uuid:16dfaee0-e599-4098-bfa8-9c0d2f1ff292/producto[2]
tercera,0.24,0.24,0,90,10,no, ,uuid:16dfaee0-e599-4098-bfa8-9c0d2f1ff292,uuid:16dfaee0-e599-4098-bfa8-9c0d2f1ff292/producto[3]
descarte,0.06,0.06,0,100,0,no, ,uuid:16dfaee0-e599-4098-bfa8-9c0d2f1ff292,uuid:16dfaee0-e599-4098-bfa8-9c0d2f1ff292/producto[4]
primera,0.6,0.6,50,50,0,si,0.9,uuid:82130d5d-2361-48e0-9d5c-ddbbc1f37425,uuid:82130d5d-2361-48e0-9d5c-ddbbc1f37425/producto[1]
segunda,0.7,0.7,20,50,30,no, ,uuid:82130d5d-2361-48e0-9d5c-ddbbc1f37425,uuid:82130d5d-2361-48e0-9d5c-ddbbc1f37425/producto[2]
tercera,0.6,0.6,0,90,10,no, ,uuid:82130d5d-2361-48e0-9d5c-ddbbc1f37425,uuid:82130d5d-2361-48e0-9d5c-ddbbc1f37425/producto[3]
primera,2.4,2.4,50,50,0,si,0.9,uuid:d6190ace-13ef-49a6-b89f-cb13c018910f,uuid:d6190ace-13ef-49a6-b89f-cb13c018910f/producto[1]
segunda,0.6,0.6,0,50,50,no, ,uuid:d6190ace-13ef-49a6-b89f-cb13c018910f,uuid:d6190ace-13ef-49a6-b89f-cb13c018910f/producto[2]
tercera,1.08,1.08,0,100,0,no, ,uuid:d6190ace-13ef-49a6-b89f-cb13c018910f,uuid:d6190ace-13ef-49a6-b89f-cb13c018910f/producto[3]
primera,0.72,0.72,50,50,0,si,0.9,uuid:16dfaee0-e599-4098-bfa8-9c0d2f1ff292,uuid:16dfaee0-e599-4098-bfa8-9c0d2f1ff292/producto[1]
segunda,0.36,0.36,0,80,20,no, ,uuid:16dfaee0-e599-4098-bfa8-9c0d2f1ff292,uuid:16dfaee0-e599-4098-bfa8-9c0d2f1ff292/producto[2]
tercera,0.24,0.24,0,90,10,no, ,uuid:16dfaee0-e599-4098-bfa8-9c0d2f1ff292,uuid:16dfaee0-e599-4098-bfa8-9c0d2f1ff292/producto[3]
descarte,0.06,0.06,0,100,0,no, ,uuid:16dfaee0-e599-4098-bfa8-9c0d2f1ff292,uuid:16dfaee0-e599-4098-bfa8-9c0d2f1ff292/producto[4]
primera,0.78,78,50,50,0,si,0.9,uuid:7e5cc1fb-9a91-4ef4-b983-57611e934cf3,uuid:7e5cc1fb-9a91-4ef4-b983-57611e934cf3/producto[1]
segunda,1.2,1.2,20,60,20,no, ,uuid:7e5cc1fb-9a91-4ef4-b983-57611e934cf3,uuid:7e5cc1fb-9a91-4ef4-b983-57611e934cf3/producto[2]
primera,14,3600,40,50,10,no,1,uuid:3e27c415-9e97-4eaf-a10a-fe9686a45746,uuid:3e27c415-9e97-4eaf-a10a-fe9686a45746/producto[1]
primera, ,200,30,50,20,no,1.5,uuid:acb7e6fb-c9ee-41ac-97c8-31754a1a5b7d,uuid:acb7e6fb-c9ee-41ac-97c8-31754a1a5b7d/producto[1]
primera, ,2400,25,50,25,no,1.5,uuid:79475ef0-0cfa-4866-9979-6d328d17619f,uuid:79475ef0-0cfa-4866-9979-6d328d17619f/producto[1]
primera,20,12,50,40,10,no,1,uuid:b862e9dd-df04-462b-a150-cad75c9efdd0,uuid:b862e9dd-df04-462b-a150-cad75c9efdd0/producto[1]
primera, , , , , , , ,uuid:b862e9dd-df04-462b-a150-cad75c9efdd0,uuid:b862e9dd-df04-462b-a150-cad75c9efdd0/producto[2]
primera,0.6,0.6,50,50,0,no, ,uuid:acaec1e5-fecd-4515-a516-5adc992e1d82,uuid:acaec1e5-fecd-4515-a516-5adc992e1d82/producto[1]
